City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,8.33,57,18,0.66,RU,1719877489
1,gadzhiyevo,69.2551,33.3362,8.51,92,100,4.0,RU,1719877499
2,adamstown,-25.066,-130.1015,18.66,63,100,10.55,PN,1719877538
3,einhausen,49.6767,8.5483,15.82,91,70,0.84,DE,1719877548
4,prieska,-29.6641,22.7474,11.74,65,71,1.61,ZA,1719877558
5,weno,7.4515,151.8468,28.97,84,100,3.6,FM,1719877568
6,bredasdorp,-34.5322,20.0403,9.53,94,4,1.34,ZA,1719877578
7,lebu,-37.6167,-73.65,12.04,90,100,5.74,CL,1719877588
8,sitka,57.0531,-135.33,12.94,88,100,4.63,US,1719877598
9,iqaluit,63.7506,-68.5145,12.85,54,75,6.17,CA,1719877608
10,celestun,20.8667,-90.4,27.47,83,62,7.45,MX,1719877618
11,mount gambier,-37.8333,140.7667,9.78,61,99,1.13,AU,1719877628
12,nar'yan-mar,67.6713,53.087,6.87,70,6,2.64,RU,1719877638
13,puerto natales,-51.7236,-72.4875,-3.26,93,39,3.43,CL,1719877659
14,hawaiian paradise park,19.5933,-154.9731,27.73,77,40,6.17,US,1719877669
15,yung shue wan,22.2333,114.1167,30.38,84,100,0.89,HK,1719877679
16,hithadhoo,-0.6,73.0833,28.11,75,23,0.75,MV,1719877689
17,port-aux-francais,-49.35,70.2167,0.89,53,100,13.03,TF,1719877699
18,papatowai,-46.5619,169.4708,7.6,77,100,6.38,NZ,1719877709
19,olonkinbyen,70.9221,-8.7187,3.65,94,100,2.36,SJ,1719877719
20,alot,23.7667,75.55,25.41,86,95,6.1,IN,1719877729
21,port mathurin,-19.6833,63.4167,22.84,78,44,7.9,MU,1719877739
22,eydhafushi,5.1033,73.0708,28.28,77,99,2.75,MV,1719877749
23,mejit,10.2753,170.8646,28.03,78,94,7.04,MH,1719877759
24,blackmans bay,-43.0167,147.3167,4.85,91,29,1.61,AU,1719877769
25,shadrinsk,56.0852,63.6335,14.51,97,63,3.12,RU,1719877779
26,guayanilla,18.0191,-66.7918,30.59,72,35,0.45,PR,1719877789
27,estevan,49.1334,-102.9842,21.19,77,75,1.54,CA,1719877294
28,grytviken,-54.2811,-36.5092,-6.63,89,72,2.6,GS,1719877809
29,bandar seri begawan,4.9403,114.9481,23.99,100,75,1.54,BN,1719877819
30,edinburgh of the seven seas,-37.0676,-12.3116,13.57,78,52,13.94,SH,1719877829
31,margaret river,-33.95,115.0667,13.44,64,94,7.37,AU,1719877839
32,port elizabeth,-33.918,25.5701,15.73,95,20,3.6,ZA,1719877588
33,nanakuli,21.3906,-158.1547,30.97,51,20,5.66,US,1719877860
34,udachny,66.4167,112.4,18.32,53,4,4.43,RU,1719877870
35,santa marta,11.2408,-74.199,32.03,74,40,4.92,CO,1719877765
36,horta,38.5333,-28.6333,21.68,87,4,4.02,PT,1719877890
37,fauske,67.2588,15.3918,13.3,89,84,2.0,NO,1719877900
38,gambiran satu,-8.3939,114.1464,23.28,98,91,1.56,ID,1719877920
39,tarawa,1.419,172.984,31.05,74,40,3.6,KI,1719877930
40,praia da vitoria,38.7333,-27.0667,21.14,83,40,2.17,PT,1719877940
41,dunedin,-45.8742,170.5036,5.45,94,100,4.92,NZ,1719877662
42,tregunc,47.85,-3.85,13.81,92,54,3.5,FR,1719877960
43,kodiak,57.79,-152.4072,11.73,76,100,4.12,US,1719877970
44,battagram,34.6772,73.0233,23.75,76,33,2.28,PK,1719877980
45,ulsteinvik,62.3432,5.8487,12.4,89,100,3.13,NO,1719877990
46,thompson,55.7435,-97.8558,19.09,59,100,3.09,CA,1719878000
47,tejen,37.3834,60.5054,25.59,26,0,4.0,TM,1719877872
48,egilsstadir,65.2653,-14.3948,8.95,76,40,2.57,IS,1719878021
49,jangipur,24.4667,88.0667,28.09,83,100,1.46,IN,1719878031
50,bardai,11.65,7.2333,23.77,67,90,2.31,NG,1719878041
51,san patricio,28.017,-97.5169,33.42,56,61,5.73,US,1719878051
52,invercargill,-46.4,168.35,8.34,86,100,2.68,NZ,1719877842
53,ushuaia,-54.8,-68.3,-1.19,80,0,2.57,AR,1719877808
54,port lincoln,-34.7333,135.8667,12.16,62,68,3.85,AU,1719878081
55,guaranda,-1.6,-79.0,12.84,96,53,0.23,EC,1719878091
56,arraial do cabo,-22.9661,-42.0278,20.75,84,100,4.25,BR,1719878101
57,bilibino,68.0546,166.4372,12.55,53,93,5.75,RU,1719878111
58,gembu,6.7,11.2667,16.99,95,100,0.55,NG,1719878121
59,puerto deseado,-47.7503,-65.8938,1.02,67,7,5.58,AR,1719878131
60,belmonte,-15.8631,-38.8828,22.48,86,62,2.18,BR,1719878141
61,ola,59.5833,151.2833,12.02,76,2,2.67,RU,1719878151
62,west island,-12.1568,96.8225,25.99,83,75,5.66,CC,1719878171
63,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,100,4.0,RU,1719878182
64,ilulissat,69.2167,-51.1,6.01,81,75,2.06,GL,1719878192
